"('September', 2016)",Electromagnetic interference shielding effectiveness of copper plated fabrics,"Ganesan P, Karthik T, Kumar A Muthu, Maruthamani D"
"('September', 2016)",Prediction of radiative protective performance of multilayered clothing,"Chakraborty Supriyo, Kothari V K"
"('September', 2016)",Effect of wrapped Fibre on tenacity of viscose vortex yarn,"Shang Shanshan, Hu Biyu, Yu Chongwen, Pei Zeguang"
"('September', 2016)",Pattern classification of cotton yarn neps,"Hasnat Abul, Ghosh Anindya, Hoque Azizul, Halder Santanu"
"('September', 2016)",Optimization of process variables in rotor spinning for the production of cotton/milkweed blended yarns,"Karthik T, Murugan R"
"('September', 2016)",Tensile failure of blended spun yarns under dynamic condition: Part I –Yarn failure during warping,"Ishtiaque S M, Rengasamy R S, Das B R"
"('September', 2016)","Tensile, surface and thermal characterization of jute fibres after novel treatments","Jabbar Abdul, Militký Jiří, Wiener Jakub, Javaid Muhammad Usman, Rwawiire Samson"
"('September', 2016)",Optimization of extraction process of Typha leaf fibres,"Rezig Sana, Jaouadi Mounir, Khoffi Foued, Msahli Slah, Durand Bernad"
"('September', 2016)",Properties of sisal fibre reinforced epoxy composite,"Gupta M K, Srivastava R K"
"('December', 2016)","Analysis of structural properties of cotton/milkweed blended ring,  compact and rotor yarns","Karthik T, Murugan R"
"('December', 2016)",Effect of core thread tension on structure and quality of multi-thread bouclé yarn,"Alshukur Malek, Sun Danmei"
"('December', 2016)",Properties of PS/TiO,"Khirandish Maryam, Borhani Sedigheh, Mallakpour Shadpour, Youssefi Mostafa"
"('December', 2016)",Jute based all-cellulose composite laminates,"Adak Bapan, Mukhopadhyay Samrat"
"('December', 2016)",Fabric-evoked prickle of fabrics made from single fibres using  axial fibre-compression-bending analyzer,"Asad Rabie Ahmed Mohammed, Yu Weidong, Zheng Yonghong, He Yong"
"('December', 2016)",Effect of test conditions and structural parameters on surface roughness  of weft knitted fabrics,"Jebali Nada, Maâtoug Najeh, Sahnoun Mehdi, Cheikhrouhou Morched"
"('December', 2016)",Dynamic adsorption characteristics of thin layered activated charcoal materials used in chemical protective overgarments,"Karkalic Radovan M, Ivankovic Negovan D, Jovanovic Dalibor B, Markovic Smiljana M, Indjic Dejan R, Micovic Marija D, Kovacevic Branko V"
"('December', 2016)",Dyeing and finishing performance of different PTT/PET bi-component  filament fabrics,"Yang Zhuli, Wang Fumei"
"('December', 2016)",Ultraviolet protection properties of nettle fabric dyed with natural dyes,"Pargai Deepti, Gahlot Manisha, Rani Anita"
"('December', 2016)",Impact of washing and sterilization on properties of fabrics used for medical applications,"RoginaCar B, Pušić T, Dekanić T"
"('December', 2016)",Optimization of dye transfer inhibition properties of polyvinyl pyrolidine  for reactive dye on cotton fabric,"Rathinamoorthy R, Ayswarriya N, Kadambari R, Sreelatha R, Janani K G"
"('December', 2016)",Yarn hairiness – Theory about total  number of fibre hair,Nachane R P
"('December', 2016)",Optical differentiation between cashmere and other textile fibres by laser diffraction,"Angelow A, Bednorz H, Böttcher S, Schrader N, Ehrmann A"
